uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
181,10039000141,Huffman High School,100390,Birmingham City,3/15/2016,2015-2016,2016,2:30 PM,Tuesday,Birmingham,Alabama,public,1433,0,1,1,targeted,19,m,b,brother of student,0,,,,,,,,13,1341,63,2,6,0,8,1,,,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12
184,10237000964,CF Vigor High School,102370,Mobile County,10/11/2016,2016-2017,2016,3:45 PM,Tuesday,Prichard,Alabama,public,710,0,1,1,targeted,16,m,b,,0,,,,,,,,13,693,2,0,1,0,1,0,,,30.743233,-88.080692,41,9,12,511,Mobile County,1,1097,21
194,10171002162,Greensboro High School,101710,Hale County,5/24/2017,2016-2017,2017,11:30 AM,Wednesday,Greensboro,Alabama,public,464,0,0,0,targeted,,m,,student,0,,,,,,,,3,457,1,0,0,0,3,0,.22-caliber revolver,,32.70713,-87.589,26.5,9,12,373,Hale County,1,1065,42
207,10237000942,Murphy High School,102370,Mobile County,1/25/2018,2017-2018,2018,11:20 AM,Thursday,Mobile,Alabama,public,2100,0,0,0,targeted,16,m,b,student,0,,,,,,,,402,1565,62,42,3,2,24,1,revolver,stolen,30.6828,-88.0867,120,9,12,905,Mobile County,1,1097,12
211,10039000141,Huffman High School,100390,Birmingham City,3/7/2018,2017-2018,2018,3:45 PM,Wednesday,Birmingham,Alabama,public,1433,1,0,1,accidental,17,m,b,student,0,,,,,,,,13,1341,63,2,6,0,8,1,handgun,,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12
179,40345000284,Independence High School,403450,Glendale Union High School District,2/12/2016,2015-2016,2016,7:53 AM,Friday,Glendale,Arizona,public,2114,1,0,1,targeted,15,f,,student,1,suicide,,,,,,,247,190,1535,42,29,3,68,0,9mm Beretta semiautomatic handgun,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584,Maricopa County,4,4013,21
177,50729000443,Harmony Grove High School,507290,Harmony Grove School District,1/13/2016,2015-2016,2016,3:00 PM,Wednesday,Camden,Arkansas,public,393,0,1,1,accidental,17,m,,student,0,,,,,,,,294,69,20,3,0,1,6,0,handgin,,33.6514,-92.7796,47.17,7,12,195,Ouachita County,5,5103,42
186,63441011252,June Jordan High School for Equity,634410,San Francisco Unified,10/18/2016,2016-2017,2016,3:20 PM,Tuesday,San Francisco,California,public,258,0,4,4,targeted,,m,,,0,,,,,,,,8,48,157,28,1,5,11,0,handguns,,37.719558,-122.425241,23.72,9,12,198,San Francisco County,6,6075,11
192,63417005375,North Park Elementary School,634170,San Bernardino City Unified,4/10/2017,2016-2017,2017,10:30 AM,Monday,San Bernardino,California,public,531,2,1,3,targeted,53,m,b,spouse of teacher,1,suicide,,,,,,,61,60,360,9,3,0,38,0,Smith & Wesson .357 Magnum revolver,,34.179206,-117.301804,19,KG,6,407,San Bernardino County,6,6071,12
201,60978004178,Rancho Tehama Elementary School,609780,Corning Union Elementary,11/14/2017,2017-2018,2017,7:50 AM,Tuesday,Corning,California,public,101,0,2,2,targeted and indiscriminate,44,m,w,,1,suicide,,,,,,,44,2,49,3,2,0,1,0,"""homemade"" AR-15-style rifle",contructed from parts legally purchased by shooter,40.015716,-122.398455,5.1,KG,5,84,Tehama County,6,6103,43
208,62271012483,Salvador B. Castro Middle School,622710,Los Angeles Unified,2/1/2018,2017-2018,2018,9:00 AM,Thursday,Los Angeles,California,public,345,0,5,5,accidental,12,f,,student,0,,,,,,,,2,8,311,21,0,0,3,0,semiautomatic handgun,,34.06169,-118.265,15.83,6,8,309,Los Angeles County,6,6037,11
212,62553003843,Seaside High School,625530,Monterey Peninsula Unified,3/13/2018,2017-2018,2018,1:20 PM,Tuesday,Seaside,California,public,1059,0,3,3,accidental,,m,w,teacher,0,,,,,,,,113,79,680,107,1,35,44,0,Glock 21 .45-caliber semiautomatic handgun,department issued,36.62444,-121.838,52.75,9,12,736,Monterey County,6,6053,22
218,60282009515,Highland High School,602820,Antelope Valley Union High,5/11/2018,2017-2018,2018,7:05 AM,Friday,Palmdale,California,public,2931,0,1,1,targeted,14,m,,student,0,,,,,,,,462,453,1742,159,19,5,91,0,rifle,,34.591755,-118.175561,126.42,9,12,1717,Los Angeles County,6,6037,21
176,120027002425,Lecanto High School,1200270,Citrus,11/10/2015,2015-2016,2015,10:30 AM,Tuesday,Lecanto,Florida,public,1567,0,0,0,public suicide,15,m,,student ,0,,,,,,,,1243,72,132,59,12,1,48,0,Walther P1 9mm semiautomatic handgun,,28.824494,-82.499153,84,9,12,839,Citrus County,12,12017,41
209,120018002721,Marjory Stoneman Douglas High School,1200180,Broward,2/14/2018,2017-2018,2018,2:21 PM,Wednesday,Parkland,Florida,public,3158,17,17,34,indiscriminate,19,m,w,former student (expelled),0,,,,,,,,1871,364,623,210,17,2,71,1,Smith & Wesson M&P15 AR-15-style rifle,legally purchased by shooter,26.304483,-80.269365,129,9,12,710,Broward County,12,12011,21
216,120126001271,Forest High School,1201260,Marion,4/20/2018,2017-2018,2018,8:39 AM,Friday,Ocala,Florida,public,2181,0,1,1,indiscriminate,19,m,,,0,,,,,,,,1396,336,298,24,16,2,109,1,shotgun,,29.14362,-82.066682,101,9,12,1048,Marion County,12,12083,22
172,130438004230,W.S. Hornsby Elementary School,1304380,Richmond County,8/25/2015,2015-2016,2015,10:45 AM,Tuesday,Augusta,Georgia,public,742,0,1,1,accidental,,m,,student,0,,,,,,,,12,717,3,0,0,2,8,1,.380 semiautomatic handgun,grandmother's boyfriend,33.459564,-81.937992,,PK,5,,Richmond County,13,13245,12
175,130138002640,Vereen School,1301380,Colquitt County,11/5/2015,2015-2016,2015,,Thursday,Moultrie,Georgia,public,40,0,0,0,targeted,,m,,student,0,,,,,,,,,,,,,,,1,semiautomatic handgun,department issued,31.175943,-83.804368,,,,,Colquitt County,13,13071,41
200,130228000967,Benjamin Banneker High School,1302280,Fulton County,11/9/2017,2017-2018,2017,3:25 PM,Thursday,College Park,Georgia,public,1547,0,2,2,accidental,,,,,0,,,,,,,,6,1478,49,2,1,0,11,0,small-caliber handgun,,33.59297,-84.5176,106.9,9,12,1544,Fulton County,13,13121,21
210,130162000786,Dalton High School,1301620,Dalton City,2/28/2018,2017-2018,2018,11:30 AM,Wednesday,Dalton,Georgia,public,1829,0,0,0,indiscriminate,53,m,w,teacher,0,,,,,,,,458,103,1192,36,2,0,38,1,.38-caliber snub-nosed revolver,,34.77972,-84.99053,101.7,9,12,1152,Whitfield County,13,13313,13
195,170993001166,Warren Elementary School,1709930,City of Chicago SD 299,6/16/2017,2016-2017,2017,1:51 PM,Friday,Chicago,Illinois,public,280,0,2,2,targeted,,m,b,,0,,,,,,,,0,275,4,0,0,0,1,1,,,41.726922,-87.575184,14.1,PK,8,263,Cook County,17,17031,11
198,172505002734,Mattoon High School,1725050,Mattoon CUSD 2,9/20/2017,2017-2018,2017,11:30 AM,Wednesday,Mattoon,Illinois,public,1047,0,1,1,targeted,14,m,w,student,0,,,,,,,,931,36,40,9,1,1,29,1,.40-caliber Ruger semiautomatic handgun,stepfather,39.474405,-88.386955,58.05,9,12,518,Coles County,17,17029,32
219,171233001481,Dixon High School,1712330,Dixon USD 170,5/16/2018,2017-2018,2018,8:00 AM,Wednesday,Dixon,Illinois,public,803,0,0,0,unclear,19,m,,former student,0,,,,,,,,650,24,51,17,1,0,60,1,,,41.847128,-89.488508,40.6,9,12,347,Lee County,17,17103,32
221,180765000639,Noblesville West Middle School,1807650,Noblesville Schools,5/25/2018,2017-2018,2018,9:06 AM,Friday,Noblesville,Indiana,public,1354,0,2,2,unclear,,m,,student,0,,,,,,,,1179,28,82,22,0,1,42,1,two handguns,,40.07825,-86.029001,64,6,8,268,Hamilton County,18,18057,21
206,210381000976,Marshall County High School,2103810,Marshall County,1/23/2018,2017-2018,2018,7:57 AM,Tuesday,Benton,Kentucky,public,1384,2,14,16,indiscriminate,15,m,w,student,0,,,,,,,,1353,1,14,2,3,0,11,1,handgun,stepfather,36.912835,-88.332917,73.1,9,12,584,Marshall County,21,21157,42
191,220054000423,Scotlandville Magnet High School,2200540,East Baton Rouge Parish,2/6/2017,2016-2017,2017,12:00 PM,Monday,Baton Rouge,Louisiana,public,1388,0,0,0,targeted,14,m,,student,0,,,,,,,,10,1370,4,0,0,0,4,0,handgun,,30.53365,-91.177851,,8,12,770,East Baton Rouge Parish,22,22033,12
193,220033000252,Moss Bluff Elementary School,2200330,Calcasieu Parish,5/15/2017,2016-2017,2017,7:50 AM,Monday,Lake Charles,Louisiana,public,963,0,1,1,accidental,7,m,w,student,0,,,,,,,,754,118,36,14,2,0,39,0,.380-caliber semiautomatic handgun,"father's gun, kept by 17 year old who shared room with shooter",30.29966,-93.2032,69.56,PK,5,439,Calcasieu Parish,22,22019,41
205,220018802340,The NET Charter High School,2200188,Rsd-educators For Quality Alternatives,1/22/2018,2017-2018,2018,1:30 PM,Monday,New Orleans,Louisiana,public,172,0,0,0,targeted,,,,,0,,,,,,,,5,151,16,0,0,0,0,0,,,29.93996,-90.079691,19.94,9,12,,Orleans Parish,22,22071,11
215,240060001224,Great Mills High School,2400600,St. Mary's County Public Schools,3/20/2018,2017-2018,2018,7:55 AM,Tuesday,Great Mills,Maryland,public,1535,1,1,2,targeted,17,m,w,student,1,suicide,,,,,,,657,577,121,76,4,1,99,1,Glock semiautomatic handgun,father,38.24743,-76.4875,86.3,9,12,554,St. Mary's County,24,24037,23
